station_id,station_name,latitude_1,longitude_1,coord1_name,latitude_2,longitude_2,coord2_name,latitude,longitude,temperature,humidity,observation_time,location,weather,wind_speed,wind_direction,air_pressure
466940,基隆,25.135104,121.732242,,25.133314,121.740475,,25.133314,121.740475,15.9,82.0,2026-03-03T16:20:00+08:00,基隆市仁愛區,陰,6.6,20.0,1014.8
466900,淡水,25.166664,121.440672,,25.164889,121.448906,,25.164889,121.448906,15.5,86.0,2026-03-03T16:20:00+08:00,新北市淡水區,陰,3.5,20.0,1015.2
466881,新北,24.96099,121.516977,,24.959207,121.525196,,24.959207,121.525196,15.3,95.0,2026-03-03T16:20:00+08:00,新北市新店區,陰,1.2,70.0,1015.0
466930,陽明山,25.163858,121.536313,,25.162078,121.544547,,25.162078,121.544547,11.2,94.0,2026-03-03T16:20:00+08:00,臺北市北投區,陰,6.0,20.0,946.3
466910,鞍部,25.184365,121.521495,,25.182586,121.529731,,25.182586,121.529731,9.6,100.0,2026-03-03T16:20:00+08:00,臺北市北投區,陰有雨,2.1,360.0,-99.0
467571,新竹,24.830335,121.006343,,24.828575,121.01445,,24.828575,121.01445,17.1,80.0,2026-03-03T16:20:00+08:00,新竹縣竹北市,陰,3.4,30.0,1012.5
467490,臺中,24.147494,120.675919,,24.145736,120.684075,,24.145736,120.684075,19.3,76.0,2026-03-03T16:20:00+08:00,臺中市北區,陰,1.7,340.0,1003.7
C0FA30,梧棲,24.257753,120.515211,,24.256003,120.523381,,24.256003,120.523381,17.9,80.0,2026-03-03T16:20:00+08:00,臺中市梧棲區,陰,7.0,360.0,-99.0
467350,澎湖,23.56722,119.554987,,23.565503,119.563094,,23.565503,119.563094,19.7,80.0,2026-03-03T16:20:00+08:00,澎湖縣馬公市,陰,5.9,30.0,1013.1
467650,日月潭,23.883099,120.899911,,23.881325,120.90805,,23.881325,120.90805,17.4,100.0,2026-03-03T16:20:00+08:00,南投縣魚池鄉,陰有霧,0.3,330.0,-99.0
467530,阿里山,23.509984,120.805129,,23.508208,120.813242,,23.508208,120.813242,9.9,100.0,2026-03-03T16:20:00+08:00,嘉義縣阿里山鄉,陰有靄,0.7,330.0,-99.0
467550,玉山,23.488964,120.951318,,23.48718,120.95943,,23.48718,120.95943,3.3,99.0,2026-03-03T16:20:00+08:00,南投縣信義鄉,陰,7.1,270.0,-99.0
467480,嘉義,23.497684,120.424796,,23.495925,120.432906,,23.495925,120.432906,18.8,88.0,2026-03-03T16:20:00+08:00,嘉義市西區,陰,3.0,10.0,1009.8
467410,臺南,22.995039,120.196846,,22.99328,120.20492,,22.99328,120.20492,21.0,80.0,2026-03-03T16:20:00+08:00,臺南市中西區,陰,4.4,10.0,1009.6
467441,高雄,22.732201,120.304459,,22.730432,120.312516,,22.730432,120.312516,24.2,81.0,2026-03-03T16:20:00+08:00,高雄市楠梓區,多雲,0.7,10.0,1010.5
467590,恆春,22.0057,120.738326,,22.003897,120.746339,,22.003897,120.746339,23.1,69.0,2026-03-03T16:20:00+08:00,屏東縣恆春鎮,多雲,4.5,50.0,1009.5
467080,宜蘭,24.765773,121.748322,,24.763975,121.756528,,24.763975,121.756528,16.0,91.0,2026-03-03T16:20:00+08:00,宜蘭縣宜蘭市,陰,2.3,30.0,1017.1
466990,花蓮,23.976933,121.605126,,23.975128,121.613275,,23.975128,121.613275,18.9,79.0,2026-03-03T16:20:00+08:00,花蓮縣花蓮市,陰,6.4,50.0,1014.0
467610,成功,23.099296,121.36534,,23.097486,121.373428,,23.097486,121.373428,19.4,82.0,2026-03-03T16:20:00+08:00,臺東縣成功鎮,陰,4.2,20.0,1010.8
